image_path,label
/content/drive/My Drive/facial_expression_dataset/train/sad/22149.jpg,sad
/content/drive/My Drive/facial_expression_dataset/train/sad/8242.jpg,sad
/content/drive/My Drive/facial_expression_dataset/train/neutral/15062.jpg,neutral
/content/drive/My Drive/facial_expression_dataset/train/happy/29447.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/neutral/27860.jpg,neutral
/content/drive/My Drive/facial_expression_dataset/train/sad/33085.jpg,sad
/content/drive/My Drive/facial_expression_dataset/train/happy/5555.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/happy/14025.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/fear/23117.jpg,fear
/content/drive/My Drive/facial_expression_dataset/train/happy/3725.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/sad/29064.jpg,sad
/content/drive/My Drive/facial_expression_dataset/train/sad/12728.jpg,sad
/content/drive/My Drive/facial_expression_dataset/train/happy/2911.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/surprise/29829.jpg,surprise
/content/drive/My Drive/facial_expression_dataset/train/sad/32956.jpg,sad
/content/drive/My Drive/facial_expression_dataset/train/happy/17234.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/angry/18155.jpg,angry
/content/drive/My Drive/facial_expression_dataset/train/happy/588.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/fear/33801.jpg,fear
/content/drive/My Drive/facial_expression_dataset/train/happy/11244.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/happy/17150.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/angry/4727.jpg,angry
/content/drive/My Drive/facial_expression_dataset/train/angry/24883.jpg,angry
/content/drive/My Drive/facial_expression_dataset/train/sad/11069.jpg,sad
/content/drive/My Drive/facial_expression_dataset/train/angry/18512.jpg,angry
/content/drive/My Drive/facial_expression_dataset/train/sad/11259.jpg,sad
/content/drive/My Drive/facial_expression_dataset/train/happy/27384.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/angry/1216.jpg,angry
/content/drive/My Drive/facial_expression_dataset/train/happy/34052.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/fear/9573.jpg,fear
/content/drive/My Drive/facial_expression_dataset/train/happy/21640.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/sad/22193.jpg,sad
/content/drive/My Drive/facial_expression_dataset/train/sad/3388.jpg,sad
/content/drive/My Drive/facial_expression_dataset/train/surprise/34330.jpg,surprise
/content/drive/My Drive/facial_expression_dataset/train/sad/35438.jpg,sad
/content/drive/My Drive/facial_expression_dataset/train/angry/23408.jpg,angry
/content/drive/My Drive/facial_expression_dataset/train/sad/30923.jpg,sad
/content/drive/My Drive/facial_expression_dataset/train/surprise/88.jpg,surprise
/content/drive/My Drive/facial_expression_dataset/train/happy/5573.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/neutral/5437.jpg,neutral
/content/drive/My Drive/facial_expression_dataset/train/fear/5987.jpg,fear
/content/drive/My Drive/facial_expression_dataset/train/angry/10431.jpg,angry
/content/drive/My Drive/facial_expression_dataset/train/fear/13654.jpg,fear
